DE, PA, NJ, GA, CT, MA, MD, SC, NH, VA, NY, NC, RI, VT, KY, TN, OH, LA, IN, MS, IL, AL, ME, MO, AR, MI, FL, TX, IA, WI, CA, MN, OR, KS, WV, NV, NE, CO, ND, SD, MT, WA, ID, WY, UT, OK, NM, AZ, AK, HI
 3, 10,  6,  5,  7, 10,  8,  7,  5, 12,  8,  7,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 15,  7,  4,  9, 16, 10,  8,  6, 21, 12, 12,  4,  4,  4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 20,  8,  6,  9, 19, 11, 10,  7, 24, 19, 14,  4,  6,  8,  5,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 4, 25,  8,  8,  9, 22, 11, 11,  8, 25, 29, 15,  4,  8, 12,  8,  8,  3,   ,   ,     ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 28,  8,  9,  8, 15, 11, 11,  8, 24, 36, 15,  4,  7, 14, 11, 16,  5,  5,  3,  3,  5,  9,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 30,  8, 11,  8, 14, 10, 11,  7, 23, 42, 15,  4,  7, 15, 15, 21,  5,  9,  4,  5,  7, 10,  4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 26,  7, 10,  6, 12,  8,  9,  6, 17, 36, 11,  4,  6, 12, 13, 23,  6, 12,  6,  9,  9,  9,  7,  3,  5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 27,  7, 10,  6, 13,  8,  8,  5, 15, 35, 10,  4,  5, 12, 12, 23,  6, 13,  7, 11,  9,  8,  9,  4,  6,  3,  4,  4,  5,  4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 26,  7,  9,  6, 12,  7,  6,  5, 13, 33,  9,  4,  5, 11, 10, 21,  7, 13,  7, 16,  8,  7, 11,  5,  8,  3,  6,  8,  8,  5,  4,  3,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 29,  9, 11,  6, 13,  8,  7,  5, 11, 35, 10,  4,  5, 12, 12, 22,  8, 15,  8, 21, 10,  7, 15,  6, 11,  4,  8, 11, 10,  6,  5,  3,  5,  5,  3,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 30,  9, 12,  6, 14,  8,  9,  4, 12, 36, 11,  4,  4, 13, 12, 23,  8, 15,  9, 22, 10,  6, 16,  7, 13,  4, 13, 13, 11,  8,  7,  3,  9,  6,  3,  5,  3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 3, 32, 10, 13,  6, 15,  8,  9,  4, 12, 36, 11,  4,  4, 13, 12, 23,  8, 15,  9, 24, 11,  6, 17,  8, 14,  4, 15, 13, 12,  9,  9,  4, 10,  6,  3,  8,  4,  3,  4,  3,  4,  3,  3,   ,   ,   ,   ,   ,   
 3, 34, 12, 13,  7, 16,  8,  9,  4, 12, 39, 12,  4,  4, 13, 12, 23,  9, 15, 10, 27, 11,  6, 18,  9, 14,  5, 18, 13, 13, 10, 11,  4, 10,  7,  3,  8,  5,  4,  4,  3,  5,  3,  3,  3,   ,   ,   ,   ,   
 3, 38, 14, 14,  7, 18,  8,  9,  4, 12, 45, 12,  5,  4, 13, 12, 24, 10, 15, 10, 29, 12,  6, 18,  9, 15,  6, 20, 13, 13, 13, 12,  5, 10,  8,  3,  8,  6,  5,  5,  4,  7,  4,  3,  4, 10,  3,  3,   ,   
 3, 36, 16, 12,  8, 17,  8,  8,  4, 11, 47, 13,  4,  3, 11, 11, 26, 10, 14,  9, 29, 11,  5, 15,  9, 19,  7, 23, 11, 12, 22, 11,  5,  9,  8,  3,  7,  6,  4,  4,  4,  8,  4,  3,  4, 11,  3,  3,   ,   
 3, 35, 16, 12,  8, 16,  8,  8,  4, 11, 47, 14,  4,  3, 11, 12, 25, 10, 13,  9, 28, 11,  5, 15,  9, 19,  8, 23, 10, 12, 25, 11,  6,  8,  8,  3,  6,  6,  4,  4,  4,  8,  4,  3,  4, 10,  4,  4,   ,   
 3, 32, 16, 12,  8, 16,  9,  8,  4, 12, 45, 14,  4,  3, 10, 11, 25, 10, 13,  8, 27, 11,  5, 13,  8, 20, 10, 24, 10, 12, 32, 11,  6,  8,  8,  3,  6,  6,  4,  4,  4,  9,  4,  3,  4,  8,  4,  4,   ,   
 3, 29, 17, 12,  8, 14, 10,  8,  4, 12, 43, 13,  4,  3,  9, 11, 26, 10, 13,  7, 26, 10,  4, 12,  6, 21, 14, 25,  9, 12, 40, 10,  6,  7,  7,  3,  5,  6,  4,  4,  4,  9,  4,  3,  4,  8,  4,  5,  3,  4
 3, 27, 17, 12,  8, 14, 10,  8,  4, 12, 41, 13,  4,  3,  9, 10, 25, 10, 13,  7, 26,  9,  4, 12,  6, 21, 17, 26,  8, 11, 45, 10,  6,  7,  6,  3,  5,  7,  3,  4,  4,  9,  4,  3,  4,  8,  4,  6,  3,  4
 3, 25, 16, 12,  8, 13, 10,  8,  4, 12, 36, 13,  4,  3,  9, 11, 23, 10, 12,  7, 24,  9,  4, 11,  6, 20, 21, 29,  8, 11, 47, 10,  7,  7,  6,  4,  5,  8,  3,  3,  4, 10,  4,  3,  5,  8,  5,  7,  3,  4
 3, 23, 15, 13,  8, 12, 10,  8,  4, 13, 33, 14,  4,  3,  8, 11, 21,  9, 12,  7, 22,  9,  4, 11,  6, 18, 25, 32,  7, 11, 54, 10,  7,  6,  5,  4,  5,  8,  3,  3,  3, 11,  4,  3,  5,  8,  5,  8,  3,  4
 3, 21, 15, 15,  7, 12, 10,  8,  4, 13, 31, 15,  4,  3,  8, 11, 20,  9, 11,  6, 21,  9,  4, 11,  6, 17, 27, 34,  7, 10, 55, 10,  7,  6,  5,  5,  5,  9,  3,  3,  3, 11,  4,  3,  5,  7,  5, 10,  3,  4
 3, 20, 14, 16,  7, 11, 10,  9,  4, 13, 29, 15,  4,  3,  8, 11, 18,  8, 11,  6, 20,  9,  4, 10,  6, 16, 29, 38,  6, 10, 55, 10,  7,  6,  5,  6,  5,  9,  3,  3,  3, 12,  4,  3,  6,  7,  5, 11,  3,  4
 3, 19, 14, 16,  7, 11, 10,  9,  4, 13, 28, 16,  4,  3,  8, 11, 17,  8, 11,  6, 19,  9,  4, 10,  6, 15, 30, 40,  6, 10, 54, 10,  8,  6,  4,  6,  5, 10,  3,  3,  4, 12,  4,  3,  6,  7,  5, 11,  3,  4
